name,morality,intro,description,motive,stimulus,jimin_notes,aleena_notes
Abdul Sattar Edhi,moral,"Abdul Sattar Edhi was a Pakistani humanitarian who founded the Edhi Foundation, which operates the world's largest volunteer ambulance network.","Starting with a single van, his organization grew to provide free medical care, orphanages, and nursing homes that have saved and supported over 1 million people, including over 25,000 abandoned infants placed in his ""Jhoolas"" or cradles.","Edhi was motivated by a philosophy of ""humanitarianism above religion"" and a simple, ascetic lifestyle dedicated entirely to the service of the poor such that his dying wish was to have his organs transplanted to those in need.","Abdul Sattar Edhi was a Pakistani humanitarian who founded the Edhi Foundation, which operates the world's largest volunteer ambulance network.

Starting with a single van, his organization grew to provide free medical care, orphanages, and nursing homes that have saved and supported over 1 million people, including over 25,000 abandoned infants placed in his ""Jhoolas"" or cradles.

Edhi was motivated by a philosophy of ""humanitarianism above religion"" and a simple, ascetic lifestyle dedicated entirely to the service of the poor such that his dying wish was to have his organs transplanted to those in need.",,
Fe del Mundo,moral,Fe del Mundo was a Filipino pediatrician who laid the foundations for her country's child healthcare system and the first woman to be admitted as a student at Harvard Medical School.,"She founded the first pediatric hospital in the Philippines and spent eight decades revolutionizing rural healthcare, providing medical services to hundreds of thousands of children and pioneering an inexpensive incubator made of bamboo which could operate without electricity.","Del Mundo was motivated by a desire to bring modern medicine to the remote areas of her country where children were dying from preventable causes, particularly after the death of her younger sister Elisa, who had made known her desire to become a doctor for the poor.","Fe del Mundo was a Filipino pediatrician who laid the foundations for her country's child healthcare system and the first woman to be admitted as a student at Harvard Medical School.

She founded the first pediatric hospital in the Philippines and spent eight decades revolutionizing rural healthcare, providing medical services to hundreds of thousands of children and pioneering an inexpensive incubator made of bamboo which could operate without electricity.

Del Mundo was motivated by a desire to bring modern medicine to the remote areas of her country where children were dying from preventable causes, particularly after the death of her younger sister Elisa, who had made known her desire to become a doctor for the poor.",,"The first sentence could say more about what she did, as it's a pretty neutral description compared to the other stimuli's first sentence descriptions."
Tom Catena,moral,Tom Catena is an American physician and Catholic lay missionary who has been the only permanent surgeon for a population of nearly 1 million people in the war-torn Nuba Mountains of Sudan since 2008.,"Operating in a hospital that is frequently targeted by government bombers, he performs up to 1,000 surgeries per year and treats everything from shrapnel wounds to leprosy and malnutrition on a salary of $350/month while on call 24/7.","Catena is motivated by his Catholic faith, in particular St. Francis of Assisi, the belief that every life is of equal value, and the vocational call to serve those whom the rest of the world has forgotten.","Tom Catena is an American physician and Catholic lay missionary who has been the only permanent surgeon for a population of nearly 1 million people in the war-torn Nuba Mountains of Sudan since 2008.

Operating in a hospital that is frequently targeted by government bombers, he performs up to 1,000 surgeries per year and treats everything from shrapnel wounds to leprosy and malnutrition on a salary of $350/month while on call 24/7.

Catena is motivated by his Catholic faith, in particular St. Francis of Assisi, the belief that every life is of equal value, and the vocational call to serve those whom the rest of the world has forgotten.","Stating that there is a population of ""nearly one million people"" feels more specific than a majority of the other first sentences.",
Catherine Hamlin,moral,Catherine Hamlin was an Australian OB/GYN who spent over 60 years in Ethiopia providing obstetric fistula repair surgery to impoverished women suffering from devastating childbirth injuries.,"She co-founded the Addis Ababa Fistula Hospital, which has provided free, life-restoring surgery to over 60,000 women who had been rendered incontinent and ostracized by their communities due to childbirth injuries.","Hamlin was motivated by a strong Christian faith and an immense compassion for the most marginalized, forgotten women in the world.","Catherine Hamlin was an Australian OB/GYN who spent over 60 years in Ethiopia providing obstetric fistula repair surgery to impoverished women suffering from devastating childbirth injuries.

She co-founded the Addis Ababa Fistula Hospital, which has provided free, life-restoring surgery to over 60,000 women who had been rendered incontinent and ostracized by their communities due to childbirth injuries.

Hamlin was motivated by a strong Christian faith and an immense compassion for the most marginalized, forgotten women in the world.","I agree with Aleena, the medical terms might be confusing for an 8th grade reading level.","This might be a higher reading comprehension level, but only because there are more medical terms."
Hugh Thompson Jr.,moral,Hugh Thompson Jr. was a U.S. Army helicopter pilot during the Vietnam War who intervened to stop the My Lai Massacre.,"He landed his helicopter between fleeing Vietnamese civilians and pursuing American soldiers, ordering his door gunner to fire on his own troops if they continued the slaughter—an act that directly saved at least 11 unarmed civilians.","Thompson was motivated by a fundamental sense of humanity and a refusal to remain a silent witness to what he recognized as clear war crimes and ""pure, premeditated murder.""","Hugh Thompson Jr. was a U.S. Army helicopter pilot during the Vietnam War who intervened to stop the My Lai Massacre.

He landed his helicopter between fleeing Vietnamese civilians and pursuing American soldiers, ordering his door gunner to fire on his own troops if they continued the slaughter—an act that directly saved at least 11 unarmed civilians.

Thompson was motivated by a fundamental sense of humanity and a refusal to remain a silent witness to what he recognized as clear war crimes and ""pure, premeditated murder.""",,
Sister Rosemary Connelly,moral,Sister Rosemary Connelly is a Catholic nun who transformed the care of individuals with intellectual and developmental disabilities at Misericordia in Chicago.,"Under her leadership, Misericordia expanded from a small facility to a 31-acre campus that provides a residential community and vocational programs for over 600 residents, focusing on life's possibilities rather than limitations.","Connelly was motivated by the belief that every person, regardless of their disability, has an inherent right to live a life of dignity, purpose, and community belonging.","Sister Rosemary Connelly is a Catholic nun who transformed the care of individuals with intellectual and developmental disabilities at Misericordia in Chicago.

Under her leadership, Misericordia expanded from a small facility to a 31-acre campus that provides a residential community and vocational programs for over 600 residents, focusing on life's possibilities rather than limitations.

Connelly was motivated by the belief that every person, regardless of their disability, has an inherent right to live a life of dignity, purpose, and community belonging.",,
Ruth Coker Burks,moral,"Ruth Coker Burks, known as the ""Cemetery Angel,"" was a young woman in Arkansas who cared for hundreds of people dying of AIDS during the height of the 1980s crisis.","She personally cared for over 1,000 patients who had been abandoned by their own families and healthcare providers, and she used her own family burial plots to provide a final resting place for over 40 people whose remains no one else would claim—despite facing ostracism and KKK cross-burnings.","Burks was motivated by simple human empathy (""just trying to do what was right"") and a refusal to leave others to die alone—despite having herself been abandoned as a 5-year-old by her mother after her father died.","Ruth Coker Burks, known as the ""Cemetery Angel,"" was a young woman in Arkansas who cared for hundreds of people dying of AIDS during the height of the 1980s crisis.

She personally cared for over 1,000 patients who had been abandoned by their own families and healthcare providers, and she used her own family burial plots to provide a final resting place for over 40 people whose remains no one else would claim—despite facing ostracism and KKK cross-burnings.

Burks was motivated by simple human empathy (""just trying to do what was right"") and a refusal to leave others to die alone—despite having herself been abandoned as a 5-year-old by her mother after her father died.",This description feels a lot more detailed than the others.,"This feels slightly more emotional than the others, especially with more knowledge about her personal struggles in the last sentence. I would suggest removing ""personally"" and potentially shortening the description."
Bishop Paride Taban,moral,Bishop Paride Taban is a South Sudanese prelate who founded the Holy Trinity Peace Village in Kuron to foster reconciliation among warring tribes.,"His village provides a neutral sanctuary where over 3,000 people from different ethnic backgrounds live, work, and learn together, successfully ending cattle raiding and conflict in a region previously devastated by civil war.","Taban was motivated by a lifelong quest for peace in his war-torn country and the belief that peace is not the absence of war, but the presence of love and brotherhood.","Bishop Paride Taban is a South Sudanese prelate who founded the Holy Trinity Peace Village in Kuron to foster reconciliation among warring tribes.

His village provides a neutral sanctuary where over 3,000 people from different ethnic backgrounds live, work, and learn together, successfully ending cattle raiding and conflict in a region previously devastated by civil war.

Taban was motivated by a lifelong quest for peace in his war-torn country and the belief that peace is not the absence of war, but the presence of love and brotherhood.",,
Carl Lutz,moral,Carl Lutz was a Swiss diplomat in Budapest who conducted the largest civilian rescue operation of WWII.,"He issued ""letters of protection"" to over 62,000 Jews, representing half of the Jewish population that survived in Budapest, and he placed 76 buildings under Swiss extraterritorial protection to serve as safe houses.",Lutz was motivated by a strong Methodist faith and the conviction that his diplomatic immunity was a tool to be used for the moral necessity of saving human lives.,"Carl Lutz was a Swiss diplomat in Budapest who conducted the largest civilian rescue operation of WWII.

He issued ""letters of protection"" to over 62,000 Jews, representing half of the Jewish population that survived in Budapest, and he placed 76 buildings under Swiss extraterritorial protection to serve as safe houses.

Lutz was motivated by a strong Methodist faith and the conviction that his diplomatic immunity was a tool to be used for the moral necessity of saving human lives.",,
Irena Sendler,moral,Irena Sendler was a Polish social worker and member of the underground resistance who specialized in smuggling Jewish children out of the Warsaw Ghetto.,"She and her network saved approximately 2,500 children by providing them with false identities—which she never disclosed despite torture and imprisonment by the Gestapo—and placing them with Polish families, keeping their true names in jars buried under an apple tree to reunite them with their families after the war.","Sendler was motivated by the belief that ""every child saved with my help is the justification of my existence on this Earth.""","Irena Sendler was a Polish social worker and member of the underground resistance who specialized in smuggling Jewish children out of the Warsaw Ghetto.

She and her network saved approximately 2,500 children by providing them with false identities—which she never disclosed despite torture and imprisonment by the Gestapo—and placing them with Polish families, keeping their true names in jars buried under an apple tree to reunite them with their families after the war.

Sendler was motivated by the belief that ""every child saved with my help is the justification of my existence on this Earth.""",,
